symbol,name,sector,impact,first_hop
SWKS,Skyworks Solutions,Information Technology,0.0003149756203509342,2
ESS,Essex Property Trust,Real Estate,0.000310806742795177,2
JPM,JPMorgan Chase,Financials,0.00030559104561860603,2
C,Citigroup,Financials,0.0002941958715321045,2
AMZN,Amazon,Consumer Discretionary,0.00029358308616284014,2
CVX,Chevron Corporation,Energy,0.00029066717066548157,2
CI,Cigna,Health Care,0.0002891726136881117,2
SYY,Sysco,Consumer Staples,0.0002838035861995759,2
FRT,Federal Realty Investment Trust,Real Estate,0.0002801826538166922,2
CMI,Cummins,Industrials,0.0002783401098170282,2
ECL,Ecolab,Materials,0.0002728657606193035,2
RCL,Royal Caribbean Group,Consumer Discretionary,0.00026331010781812926,2
GEV,GE Vernova,Industrials,0.0002445294359230588,2
EME,Emcor,Industrials,0.00024393179082842338,2
ISRG,Intuitive Surgical,Health Care,0.00024388423121538152,2
AXP,American Express,Financials,0.0002362430849917541,2
CVNA,Carvana,Consumer Discretionary,0.00023262371071324476,2
MGM,MGM Resorts,Consumer Discretionary,0.00023032318507609054,2
DASH,DoorDash,Consumer Discretionary,0.00022776094795917698,2
ERIE,Erie Indemnity,Financials,0.000226875946850807,2
UNP,Union Pacific Corporation,Industrials,0.00022534799747665196,2
PKG,Packaging Corporation of America,Materials,0.0002244415963652827,2
TEL,TE Connectivity,Information Technology,0.00022389811065192874,2
SNA,Snap-on,Industrials,0.000223477741631015,2
ABNB,Airbnb,Consumer Discretionary,0.0002077722246138084,2
FDS,FactSet,Financials,0.00020140896765538836,2
APH,Amphenol,Information Technology,0.00019695915260899317,2
XYZ,"Block, Inc.",Financials,0.00019280472109744047,2
SPGI,S&P Global,Financials,0.00019205615488802243,2
WAB,Wabtec,Industrials,0.00018850303256130673,2
EOG,EOG Resources,Energy,0.0001869549567339743,3
ROP,Roper Technologies,Information Technology,0.00018444611137624623,2
V,Visa Inc.,Financials,0.000183556152310988,2
TXN,Texas Instruments,Information Technology,0.00018035082317807594,2
UPS,United Parcel Service,Industrials,0.00017504068935959724,3
VRSN,Verisign,Information Technology,0.00017073238397437328,2
GD,General Dynamics,Industrials,0.00016933107326236622,2
PFE,Pfizer,Health Care,0.00016570505610667024,3
MA,Mastercard,Financials,0.00016524169977060957,2
FANG,Diamondback Energy,Energy,0.0001652223073267569,3
INTU,Intuit,Information Technology,0.00016448193069768788,2
CSX,CSX Corporation,Industrials,0.0001616211368871871,3
ADM,Archer Daniels Midland,Consumer Staples,0.00015980253724202448,2
MCO,Moody's Corporation,Financials,0.00015948469225694588,2
JCI,Johnson Controls,Industrials,0.00015452901010047155,3
TYL,Tyler Technologies,Information Technology,0.00015050935039288943,2
NDAQ,"Nasdaq, Inc.",Financials,0.00014818414104624512,2
CRH,CRH plc,Materials,0.00014489953649779837,2
OTIS,Otis Worldwide,Industrials,0.00014339492503241664,2
AIZ,Assurant,Financials,0.00014144066520678408,2
HAL,Halliburton,Energy,0.0001405134575605888,3
EG,Everest Group,Financials,0.0001400332604213219,2
WDAY,"Workday, Inc.",Information Technology,0.0001366412325627335,2
NOW,ServiceNow,Information Technology,0.00013184097904634496,3
FIS,Fidelity National Information Services,Financials,0.0001317703991717837,2
GLW,Corning Inc.,Information Technology,0.00012952511713664055,2
AIG,American International Group,Financials,0.00012010767066364859,2
STX,Seagate Technology,Information Technology,0.00011984293964604326,2
MRK,Merck & Co.,Health Care,0.00011381707033808334,2
TROW,T. Rowe Price,Financials,0.00011185767237980305,2
PWR,Quanta Services,Industrials,0.0001040155979249354,3
CF,CF Industries,Materials,0.00010010567638894657,3
META,Meta Platforms,Communication Services,0.00010006626059322945,3
DDOG,Datadog,Information Technology,9.44294094880509e-05,3
CRM,Salesforce,Information Technology,9.417564672441644e-05,3
SMCI,Supermicro,Information Technology,9.262614545025924e-05,2
ORCL,Oracle Corporation,Information Technology,9.093580755952727e-05,3
PANW,Palo Alto Networks,Information Technology,8.684148692606618e-05,3
PLTR,Palantir Technologies,Information Technology,8.656858614502306e-05,2
NRG,NRG Energy,Utilities,8.51377876007607e-05,3
ACN,Accenture,Information Technology,8.465988940789735e-05,2
SLB,Schlumberger,Energy,8.22054732194558e-05,3
MSCI,MSCI Inc.,Financials,8.07685360405941e-05,2
