symbol,name,sector,event_day_return,model_predicted,actual_post_event
UAL,United Airlines Holdings,Industrials,-0.12427396064686402,-0.0010515110666991247,0.04098801855652387
WMB,Williams Companies,Energy,-0.02575395645496643,-0.001012244287649204,-0.06944062301972387
COST,Costco,Consumer Staples,0.013198365702703198,-0.0009466220260058496,-0.0028684460536916876
IR,Ingersoll Rand,Industrials,-0.09206521250180325,-0.0009265516949353678,-0.035723030751890414
MNST,Monster Beverage,Consumer Staples,0.010278978325343247,-0.0009189958048811596,-0.03202455640738622
COIN,Coinbase,Financials,-0.021780343015774396,-0.0009030430225836061,-0.006698417574064815
ZBH,Zimmer Biomet,Health Care,0.0025774651116548227,-0.0008712476339083362,-0.09685585468191758
GD,General Dynamics,Industrials,-0.016625407344949727,-0.0008592386229742904,0.008126537171654694
TJX,TJX Companies,Consumer Discretionary,0.021842518602533167,-0.0008511262607971933,0.01613322818928631
MS,Morgan Stanley,Financials,-0.0698634050950948,-0.0008483622331878895,-0.012586932929194293
SYY,Sysco,Consumer Staples,-0.00013255040248456927,-0.0008441477883294883,-0.07224054769243499
DOC,Healthpeak Properties,Real Estate,-0.028370608935716433,-0.0008320348566590002,-0.06858880166674283
ROP,Roper Technologies,Information Technology,-0.01893306953838952,-0.000789633726416307,-0.051895755033806154
MAS,Masco,Industrials,-0.08498272287208061,-0.0007857211162781662,-0.03894026846347915
KVUE,Kenvue,Consumer Staples,-0.010947444528554758,-0.000780261211561381,-0.07697783685170197
EXR,Extra Space Storage,Real Estate,-0.02520678429887738,-0.000760027500819606,-0.08933474510983877
C,Citigroup,Financials,-0.1122517954990014,-0.0007512373289078998,-0.02342848145281723
AIZ,Assurant,Financials,-0.03923596544140121,-0.0007384551395475314,-0.06656586007404768
HCA,HCA Healthcare,Health Care,0.009814904240972321,-0.0007207693768633631,-0.041372375085056305
ESS,Essex Property Trust,Real Estate,-0.03721298919321561,-0.0007199098769612997,-0.11318602479387022
ABBV,AbbVie,Health Care,-0.022702209662157764,-0.0007188889780379729,-0.14627983597163338
TT,Trane Technologies,Industrials,-0.031547540203835,-0.0007055007139769743,0.02178254140135022
ADM,Archer Daniels Midland,Consumer Staples,-0.01336420531224225,-0.0006846629653971876,-0.067162601634108
RL,Ralph Lauren Corporation,Consumer Discretionary,-0.14566118567126027,-0.0006844064085807398,-0.016405616364494335
AXP,American Express,Financials,-0.0874954724719557,-0.0006755596069621158,-0.00044543210865863325
PCG,PG&E Corporation,Utilities,-0.0011588205513337023,-0.0006644974906593544,-0.04627161575611301
ECL,Ecolab,Materials,-0.015976187179035387,-0.0006588462099254109,-0.07331521522213034
CFG,Citizens Financial Group,Financials,-0.11391018732552835,-0.0006418569131211655,-0.04028157105036685
WMT,Walmart,Consumer Staples,-0.017832254337762886,-0.0006116319808207342,0.037672310208635394
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,-0.13461982678221768,-0.0006044950873149925,0.06300243848931307
V,Visa Inc.,Financials,-0.020300014550319972,-0.0005956830078366204,-0.04452548647572491
BLDR,Builders FirstSource,Industrials,-0.04719125944943481,-0.0005802933547693167,0.0010010239867663737
EXE,Expand Energy,Energy,-0.019616319204393093,-0.0005682191246921041,-0.10480789841703735
KEY,KeyCorp,Financials,-0.1124177099347934,-0.0005669970326209926,-0.027280986395809982
RCL,Royal Caribbean Group,Consumer Discretionary,-0.09822134368279756,-0.0005618347186429245,0.02025455833393945
ITW,Illinois Tool Works,Industrials,-0.03794447592575244,-0.0005484862797241416,-0.05419018674975353
CVNA,Carvana,Consumer Discretionary,-0.15651327308883473,-0.0005467100092976192,0.11359981692702904
SRE,Sempra,Utilities,-0.011666462675468503,-0.0005419282081852647,-0.05567088154738602
EIX,Edison International,Utilities,-0.006317841161101328,-0.0005318954724082482,-0.03715480726207034
CI,Cigna,Health Care,0.022258072688194065,-0.0005272071739315312,-0.03359102250094362
ORCL,Oracle Corporation,Information Technology,-0.033746025586636655,-0.0005211878592397216,-0.025095131560399768
AIG,American International Group,Financials,-0.007051608570578268,-0.0005138547610180635,-0.05790929655885606
MA,Mastercard,Financials,-0.0332914768663668,-0.0005092955527590206,-0.05904220800307489
EQT,EQT Corporation,Energy,-0.033786326722596724,-0.0005064388079846913,-0.07161545438613806
MSI,Motorola Solutions,Information Technology,-0.0011245294391205181,-0.0004967951034589089,-0.04852959664052152
STZ,Constellation Brands,Consumer Staples,-0.01812763871717925,-0.0004947810762468549,0.017802984212546533
MRK,Merck & Co.,Health Care,-0.008414588230299664,-0.0004908237984614307,-0.10794902046754443
HWM,Howmet Aerospace,Industrials,-0.05282015039532388,-0.00048612239936714164,-0.0065011300325681295
PHM,PulteGroup,Consumer Discretionary,-0.05270406103198448,-0.00047625753841727,-0.04252850077316502
AMZN,Amazon,Consumer Discretionary,-0.07429609450304883,-0.00047309219649676346,0.01562747661696328
ROK,Rockwell Automation,Industrials,-0.07869078284245244,-0.00045637385952631795,-0.038358071490562494
URI,United Rentals,Industrials,-0.06676993481029764,-0.0004539585080279629,-0.019178916517269787
PPG,PPG Industries,Materials,-0.04659431813356933,-0.0004519669688975106,-0.053933729360581745
OTIS,Otis Worldwide,Industrials,0.0023037480426047773,-0.0004485726507957362,-0.10057822919081315
LHX,L3Harris,Industrials,0.0009054947237366624,-0.0004453398332061083,0.0168618102757003
LEN,Lennar,Consumer Discretionary,-0.05483407747416112,-0.00042792653720165205,-0.036736773460643475
SPGI,S&P Global,Financials,-0.04279961513984789,-0.0004021933697183872,-0.06679424273481767
CRH,CRH plc,Materials,-0.028540651979948293,-0.00040079360646643614,-0.03644060671161527
DHI,D. R. Horton,Consumer Discretionary,-0.04085155379476864,-0.00038769561073353256,-0.03697643029965683
GE,GE Aerospace,Industrials,-0.08261806291698641,-0.0003868334178880188,-0.03316122512912276
LOW,Lowe's,Consumer Discretionary,-0.05034682195050606,-0.0003852723747280888,-0.005949748815833256
NDAQ,"Nasdaq, Inc.",Financials,-0.030036251436159917,-0.00036984924448097475,-0.04845144078711694
ACN,Accenture,Information Technology,-0.03941714702753773,-0.0003625771700569018,-0.050429938077621424
CRWD,CrowdStrike,Information Technology,-0.04224528818437048,-0.0003512251358489493,0.059291024510046
NDSN,Nordson Corporation,Industrials,-0.07521476191211905,-0.0003472147004870233,-0.029123383646944008
IEX,IDEX Corporation,Industrials,-0.07132182990823313,-0.00034545254084153394,-0.010189237447711608
PLTR,Palantir Technologies,Information Technology,-0.012835948032019588,-0.0003436717739343328,0.057975441247695894
CTSH,Cognizant,Information Technology,-0.04248566888411778,-0.0003398624721417146,-0.05282456170885448
POOL,Pool Corporation,Consumer Discretionary,-0.013544933278507039,-0.0003388093504801941,-0.027620313682961188
XYZ,"Block, Inc.",Financials,-0.026331720876731142,-0.00033856843745329486,-0.01983600521660403
BMY,Bristol Myers Squibb,Health Care,-0.029481690451666247,-0.0003351126313272789,-0.12537279483899247
LII,Lennox International,Industrials,-0.03240516887892436,-0.0003346305918884404,0.0063256733790143585
FIS,Fidelity National Information Services,Financials,-0.0008049313421489776,-0.0003294135262599589,-0.06946270039419239
BG,Bunge Global,Consumer Staples,0.004485667365538137,-0.0003104547378412322,-0.0656645053521441
ABNB,Airbnb,Consumer Discretionary,-0.061341779456825916,-0.0003056706332559037,-0.0005265715174169877
INTU,Intuit,Information Technology,-0.025159879242781538,-0.0002920279961813839,-0.03407525882216768
PFE,Pfizer,Health Care,-0.010239713703769568,-0.0002901480077342603,-0.11783456090427705
RVTY,Revvity,Health Care,-0.03472496959065818,-0.00028901965379599104,-0.0798277931707021
MTD,Mettler Toledo,Health Care,-0.054320931761151825,-0.00028584208067267776,-0.09328617813709413
