symbol,name,sector,impact,first_hop
UHS,Universal Health Services,Health Care,7.74037029919551e-05,2
LH,Labcorp,Health Care,7.679233347452865e-05,2
WYNN,Wynn Resorts,Consumer Discretionary,7.624288735743248e-05,2
LDOS,Leidos,Industrials,7.59022891892243e-05,2
HLT,Hilton Worldwide,Consumer Discretionary,7.54183897613686e-05,2
BIIB,Biogen,Health Care,7.441325718466138e-05,2
MCO,Moody's Corporation,Financials,7.425772694724035e-05,2
HD,Home Depot (The),Consumer Discretionary,7.308762454021182e-05,2
LEN,Lennar,Consumer Discretionary,7.269467207834891e-05,2
NVR,"NVR, Inc.",Consumer Discretionary,7.124383311441895e-05,2
MAS,Masco,Industrials,7.085694838758381e-05,2
INTC,Intel,Information Technology,6.806599068629433e-05,2
HII,Huntington Ingalls Industries,Industrials,6.762016945325902e-05,2
CF,CF Industries,Materials,6.70096341669459e-05,2
HST,Host Hotels & Resorts,Real Estate,6.599249707984781e-05,2
EW,Edwards Lifesciences,Health Care,6.569139998679937e-05,2
BK,BNY Mellon,Financials,6.565196516091951e-05,2
IEX,IDEX Corporation,Industrials,6.48294885765811e-05,2
GOOGL,Alphabet Inc. (Class A),Communication Services,6.40978694332636e-05,2
GOOG,Alphabet Inc. (Class C),Communication Services,6.370523372247284e-05,2
AXON,Axon Enterprise,Industrials,6.305538708759813e-05,2
CVX,Chevron Corporation,Energy,6.25715463747481e-05,2
DLR,Digital Realty,Real Estate,6.221192283976533e-05,2
STLD,Steel Dynamics,Materials,6.214322359603905e-05,2
SHW,Sherwin-Williams,Materials,6.115196958505807e-05,2
TPR,"Tapestry, Inc.",Consumer Discretionary,5.919519214397237e-05,2
LOW,Lowe's,Consumer Discretionary,5.8924688481149594e-05,2
UNH,UnitedHealth Group,Health Care,5.8904865915890536e-05,2
BKNG,Booking Holdings,Consumer Discretionary,5.622192943222255e-05,2
FISV,Fiserv,Financials,5.5657876933452604e-05,2
CVS,CVS Health,Health Care,5.459789583855017e-05,2
INTU,Intuit,Information Technology,5.3315525017635954e-05,2
PHM,PulteGroup,Consumer Discretionary,5.304949635469449e-05,2
NEM,Newmont,Materials,4.989894624845284e-05,2
PYPL,PayPal,Financials,4.843379606574875e-05,2
DDOG,Datadog,Information Technology,4.829805389867352e-05,2
CPAY,Corpay,Financials,4.749116484576746e-05,2
ACN,Accenture,Information Technology,4.7096550453584296e-05,2
IFF,International Flavors & Fragrances,Materials,4.686199176170235e-05,2
ODFL,Old Dominion,Industrials,4.684840013003999e-05,2
ALB,Albemarle Corporation,Materials,4.664422800027085e-05,2
HUM,Humana,Health Care,4.6446877984808495e-05,2
MOS,Mosaic Company (The),Materials,4.525878637107144e-05,2
CTSH,Cognizant,Information Technology,4.504877221632411e-05,2
FTV,Fortive,Industrials,4.502765471138132e-05,2
CNC,Centene Corporation,Health Care,4.496875961822922e-05,2
DECK,Deckers Brands,Consumer Discretionary,4.45305358676663e-05,2
