symbol,name,sector,sub_industry,degree_centrality,weighted_degree,betweenness,eigenvector,closeness
FCX,Freeport-McMoRan,Materials,Copper,0.042,6.880078992290036,0.007150300601202405,0.009590854869291595,0.13525570371760512
FDS,FactSet,Financials,Financial Exchanges & Data,0.042,7.843660400493302,0.0014829659318637274,0.0035246618595424955,0.12761275265852437
FDX,FedEx,Industrials,Air Freight & Logistics,0.006,1.1319143507138443,0.0001683366733466934,2.4744964857185203e-06,0.08080450749644233
FE,FirstEnergy,Utilities,Electric Utilities,0.31,66.78818110051955,0.0005611222444889779,0.11731385839727071,0.19364014496255055
FFIV,"F5, Inc.",Information Technology,Communications Equipment,0.002,0.305391029902706,0.0,0.0008248623632828389,0.11500828165370232
FICO,Fair Isaac,Information Technology,Application Software,0.0,0.0,0.0,4.297616962637649e-15,0.0
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,0.014,2.5244313910671323,0.0007615230460921844,0.00135169141179954,0.12085131022681925
FISV,Fiserv,Financials,Transaction & Payment Processing Services,0.008,1.397591480840375,0.0,0.0010449067770631325,0.11096360959293447
FITB,Fifth Third Bancorp,Financials,Regional Banks,0.048,12.459064270508955,0.0,0.004488806341954216,0.12751371174652606
FIX,Comfort Systems USA,Industrials,Construction & Engineering,0.18,35.994981994919,0.003214428857715431,0.05452188247890026,0.1650355881911521
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,0.006,1.690333273488049,0.0,1.029657328982933e-11,0.002707042568214735
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,0.006,1.6386536694648888,0.0,1.0103609883741955e-11,0.0025386081183197
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,0.08600000000000001,16.66745350619542,0.001691382765531062,0.025586360078963536,0.14773616905795647
FSLR,First Solar,Information Technology,Semiconductors,0.002,0.31825302645146725,0.0,3.859252022958229e-06,0.08155323380727622
FTNT,Fortinet,Information Technology,Systems Software,0.008,1.514382674262282,0.0,8.553748857715611e-05,0.09959092626164229
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,0.008,1.3233712730359795,3.2064128256513025e-05,0.0011070500155321154,0.12222620295315878
GD,General Dynamics,Industrials,Aerospace & Defense,0.022,4.566697635516744,0.0024288577154308617,0.003798505579374833,0.12652467683881646
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,0.0,0.0,0.0,4.297616962637649e-15,0.0
GE,GE Aerospace,Industrials,Aerospace & Defense,0.022,3.7451764494860447,0.0030861723446893785,0.0027587769774879466,0.11340921595360262
GEHC,GE HealthCare,Health Care,Health Care Equipment,0.0,0.0,0.0,4.297616962637649e-15,0.0
GEN,Gen Digital,Information Technology,Systems Software,0.0,0.0,0.0,4.297616962637649e-15,0.0
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,0.14200000000000002,26.861702554309055,0.0017234468937875752,0.03995985475979848,0.15562661680350579
GILD,Gilead Sciences,Health Care,Biotechnology,0.024,4.149558901706152,0.0035751503006012024,0.005898196445805976,0.135894614978667
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,0.34600000000000003,71.80717021468728,0.024849699398797595,0.11369567718536668,0.1979157840222064
GL,Globe Life,Financials,Life & Health Insurance,0.01,1.7445032143191117,0.0,0.002661230100112494,0.11539143475368012
GLW,Corning Inc.,Information Technology,Electronic Components,0.07,12.947990248130306,1.6032064128256513e-05,0.014123723601863798,0.13584119825490937
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,0.002,0.5203518620927663,0.0,1.226819267533747e-13,0.0010407037241855325
GNRC,Generac,Industrials,Electrical Components & Equipment,0.004,0.623028396875872,0.0,0.0006811781532895727,0.10638873688726573
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,0.006,1.7178321703761625,0.0,0.0002058384237672655,0.10028117706678595
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,0.006,1.723107662895225,0.0,0.00020769331640365626,0.10055483299811792
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,0.008,1.2620084365189228,0.0001683366733466934,0.0008642279924344848,0.1128267485083093
GPN,Global Payments,Financials,Transaction & Payment Processing Services,0.002,0.3106898277695632,0.0,1.4717135012301941e-05,0.08486489685260369
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,0.0,0.0,0.0,4.297616962637649e-15,0.0
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,0.166,31.744245213248753,0.007655310621242485,0.04313416674810934,0.157932461671646
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,0.006,1.175322887652435,0.00029659318637274547,0.00016039107848569366,0.09949393869968336
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,0.038,9.804088357970555,0.0023326653306613224,0.00019992054146175867,0.10634310749623103
