symbol,name,sector,event_day_return,model_predicted,actual_post_event
AXP,American Express,Financials,-0.027762715463676996,-0.0012258987185809727,0.0331725062067822
ICE,Intercontinental Exchange,Financials,-0.007166217079424194,-0.001217491126958841,0.03292415044194941
WRB,W. R. Berkley Corporation,Financials,-0.008188674214172992,-0.0012133933235492023,0.03553862301188292
ARES,Ares Management,Financials,-0.040519684539804715,-0.0012095523768862293,0.038363257270252346
L,Loews Corporation,Financials,-0.034782939999213405,-0.001183842207605664,0.018770073713405784
CFG,Citizens Financial Group,Financials,-0.023227134522579945,-0.001161170004645228,0.03766308242942187
VRSK,Verisk Analytics,Industrials,-0.01656182652351719,-0.0011425400939746402,0.008806920807994249
NRG,NRG Energy,Utilities,-0.015984018303777364,-0.0011223314089898154,0.12381287676810851
ABBV,AbbVie,Health Care,-0.0263898690791252,-0.0011122618611043202,0.032236683045207014
CEG,Constellation Energy,Utilities,0.017149206732496047,-0.0011079338110824327,0.09564706130717622
AZO,AutoZone,Consumer Discretionary,-0.02074444963014558,-0.001090224709472882,0.014224801255945482
PSA,Public Storage,Real Estate,-0.02677398080999142,-0.0010901389783882344,0.03083755444336468
GLW,Corning Inc.,Information Technology,-0.030771677658195853,-0.001088999347543221,0.022261128234772477
CRWD,CrowdStrike,Information Technology,0.018912249996677396,-0.001064729023245035,0.07990066845312813
BRO,Brown & Brown,Financials,-0.02845883088486993,-0.001063956235186077,0.020736920134669233
ROL,"Rollins, Inc.",Industrials,-0.007946462971449979,-0.0010621280932030328,-0.0004200409347936765
HIG,Hartford (The),Financials,-0.035413578181521514,-0.0010598379212243267,0.02393414971873917
ALL,Allstate,Financials,-0.04511527313431763,-0.0010486749073098127,0.008835555961088851
QCOM,Qualcomm,Information Technology,-0.00857350581305201,-0.0010229969906213343,0.043363984717152304
SJM,J.M. Smucker Company (The),Consumer Staples,-0.012496167265395248,-0.0010165945835096358,-0.02284329332583276
IVZ,Invesco,Financials,-0.048249164863923985,-0.0010097785928301285,0.050157115468794075
ADI,Analog Devices,Information Technology,-0.036232184700888494,-0.0010081950106243735,0.06317887289036392
NI,NiSource,Utilities,-0.03976150931208014,-0.0010035414057303056,0.015579683607860799
VTR,Ventas,Real Estate,-0.013027716974847994,-0.0009984770447648472,0.05792655176249617
ITW,Illinois Tool Works,Industrials,-0.01858472859353742,-0.0009900887801006406,0.0017116544486772429
ACGL,Arch Capital Group,Financials,-0.026808002203578304,-0.000989526863758212,0.024067919866443393
PAYX,Paychex,Industrials,-0.020478585109968445,-0.0009875660668914787,0.005335206630615048
KEY,KeyCorp,Financials,-0.023102132727523633,-0.0009705337295841324,0.0293112675112302
NXPI,NXP Semiconductors,Information Technology,-0.009891080113479115,-0.000943254993271234,0.040908669782038345
WELL,Welltower,Real Estate,-0.015371237735018348,-0.0009232963125443398,0.041369446272645403
PM,Philip Morris International,Consumer Staples,-0.03682667606008346,-0.0009158575955787228,0.023755625513570158
ORCL,Oracle Corporation,Information Technology,-0.04151619501454898,-0.0008989143413796547,0.008566362260506659
ADP,Automatic Data Processing,Industrials,-0.020627035567679967,-0.0008943271465979071,0.017852992796953657
TRV,Travelers Companies (The),Financials,-0.02798306605836728,-0.0008878431599539094,0.014609203300603625
UDR,"UDR, Inc.",Real Estate,-0.01564278000654737,-0.0008813370356163511,0.034435151606994396
CDNS,Cadence Design Systems,Information Technology,-0.011239502523745143,-0.0008595704445640333,0.08478071452175412
ON,ON Semiconductor,Information Technology,0.014899549456907642,-0.0008561921020853474,0.0461838733961237
CVNA,Carvana,Consumer Discretionary,-0.013649589303161342,-0.0008403279172816019,-0.014362983104739546
COR,Cencora,Health Care,-0.025859610742151973,-0.0008325613288392415,-0.017773606051527807
KEYS,Keysight Technologies,Information Technology,-0.031183637497853828,-0.0008226730738158775,0.002521086096041767
HCA,HCA Healthcare,Health Care,-0.017494087051539004,-0.0008011828330265375,0.02951614375846267
LIN,Linde plc,Materials,-0.0233993977646359,-0.000799098665094747,0.009068162796302334
TMUS,T-Mobile US,Communication Services,-0.010063211953441337,-0.0007877455397440248,0.035432692461952575
CPT,Camden Property Trust,Real Estate,-0.027793696978625215,-0.000752455093701406,0.03277297647081773
ZBRA,Zebra Technologies,Information Technology,-0.013871762762528763,-0.0007499925359968962,0.012039503878467871
RL,Ralph Lauren Corporation,Consumer Discretionary,-0.028379492559073027,-0.0007339474207360924,0.011324968897487886
ABT,Abbott Laboratories,Health Care,-0.024371472919762764,-0.0007078677651173714,0.010348617753010438
HBAN,Huntington Bancshares,Financials,-0.0347796360672293,-0.0006757969054352614,0.01568947232313607
ETR,Entergy,Utilities,-0.044779127543719384,-0.0006722432329813422,0.014695363171958551
KIM,Kimco Realty,Real Estate,-0.03621564692372574,-0.0006599380891449537,0.029811410089183504
STX,Seagate Technology,Information Technology,-0.02169916447164853,-0.0006587211778382785,0.030961458163508423
CINF,Cincinnati Financial,Financials,-0.03537086776241673,-0.0006484214271439188,0.012165386193808827
KDP,Keurig Dr Pepper,Consumer Staples,-0.022200599482745317,-0.0006450272529439693,0.006683120682003916
BR,Broadridge Financial Solutions,Industrials,-0.0351044569105961,-0.0006427896355720613,0.035428525186239124
ADM,Archer Daniels Midland,Consumer Staples,-0.012469308998258313,-0.0006425749683224892,0.005143291233767544
SYY,Sysco,Consumer Staples,-0.02762362444091889,-0.0006407340012647176,0.01238613095611798
AVY,Avery Dennison,Materials,-0.039312027311658636,-0.0006356905829932041,0.026635646895168653
RF,Regions Financial Corporation,Financials,-0.02276669754553351,-0.000630204433050091,0.020369341419695063
FRT,Federal Realty Investment Trust,Real Estate,-0.02447922473310275,-0.0006214146612365717,0.023233741589113704
TAP,Molson Coors Beverage Company,Consumer Staples,-0.03384265382967481,-0.0006153491256883752,0.033275279408997674
NOC,Northrop Grumman,Industrials,-0.00388979187728183,-0.0006059307726819791,-0.002662810938769307
DASH,DoorDash,Consumer Discretionary,0.03412899538958122,-0.0005977946264387781,0.028125067753555964
INVH,Invitation Homes,Real Estate,-0.026190008175033353,-0.0005702217101030531,0.022248588990377356
PEG,Public Service Enterprise Group,Utilities,-0.01959966994908393,-0.0005633209323603126,0.026300429635710443
AVB,AvalonBay Communities,Real Estate,-0.02873975198285248,-0.0005507271744977061,0.02094827109476543
EQR,Equity Residential,Real Estate,-0.015065869174791325,-0.000546217026487597,0.017483694812018627
MDT,Medtronic,Health Care,-0.014582577713522402,-0.0005244193910372982,0.023133785677226557
EMR,Emerson Electric,Industrials,-0.02616109782189297,-0.0005181860202393906,-0.016872405788684153
