symbol,name,sector,event_day_return,model_predicted,actual_post_event
ANET,Arista Networks,Information Technology,-0.01698555654986848,9.762534701535246e-05,-0.003789214468598279
AMP,Ameriprise Financial,Financials,0.01495834435735168,9.67521021239815e-05,-0.02479217476804835
WMT,Walmart,Consumer Staples,-0.0014317558554943583,9.477442084547346e-05,0.002718275438977122
FTV,Fortive,Industrials,0.03130559009583567,9.429398351107647e-05,0.05161337698196927
UPS,United Parcel Service,Industrials,0.02906400883996385,9.424295548903613e-05,0.06368361583469034
KDP,Keurig Dr Pepper,Consumer Staples,0.014911661163933963,9.311892730324913e-05,0.007067252397948781
GLW,Corning Inc.,Information Technology,0.008470901451793623,9.26640070116558e-05,0.025206932472643623
SMCI,Supermicro,Information Technology,-0.00716037594995944,9.125163742336553e-05,-0.013883269464133161
STX,Seagate Technology,Information Technology,0.016725737988859273,8.986642373727833e-05,0.02420740570428566
LYB,LyondellBasell,Materials,0.010247856953099115,8.936266640471524e-05,0.037519909641450085
MTB,M&T Bank,Financials,0.03373689875925119,8.598111138702465e-05,0.051448144308377436
PNC,PNC Financial Services,Financials,0.041180802011007406,8.545596602269204e-05,0.05982636655255987
TFC,Truist Financial,Financials,0.037331071262972595,8.497283959700639e-05,0.04950895488453828
RF,Regions Financial Corporation,Financials,0.029399318014695464,8.373157979938805e-05,0.0499162096593401
MET,MetLife,Financials,0.03540699795318475,8.314190989425529e-05,0.04349097022707282
HBAN,Huntington Bancshares,Financials,0.03708327565884457,8.268064816660469e-05,0.0584371281590281
JCI,Johnson Controls,Industrials,0.037420213400142316,8.154980547679236e-05,0.034962792237496786
RL,Ralph Lauren Corporation,Consumer Discretionary,0.02449003151212056,8.106756888244353e-05,-0.060220331202115375
PWR,Quanta Services,Industrials,0.03603969221438215,7.994914734557788e-05,-0.018223836090249083
MSI,Motorola Solutions,Information Technology,-0.005209111121665537,7.979905053112513e-05,0.0188088468275989
ROK,Rockwell Automation,Industrials,0.0485278504983557,7.904956215105651e-05,0.07087019627517385
USB,U.S. Bancorp,Financials,0.050377544647824624,7.88934233678924e-05,0.03192008876451834
HPE,Hewlett Packard Enterprise,Information Technology,-0.002355722118798107,7.880607301954406e-05,0.010790796765772256
MRK,Merck & Co.,Health Care,0.02298049876256658,-7.848629879788487e-05,-0.0277521935746185
DASH,DoorDash,Consumer Discretionary,-0.03293667932208036,-7.802760288697856e-05,0.031007338014547838
UAL,United Airlines Holdings,Industrials,-0.03360939713477807,7.721986947172795e-05,0.03085133730890237
HSIC,Henry Schein,Health Care,0.010189929580247233,-7.657903041112358e-05,0.03753546315550766
FITB,Fifth Third Bancorp,Financials,0.05506965262911875,7.554565710268743e-05,0.04995939506021462
XYZ,"Block, Inc.",Financials,0.030231244626897424,-7.144494672475548e-05,0.08058633641614868
XOM,ExxonMobil,Energy,0.020608330967275112,6.938752566315392e-05,0.024337164612585213
KEYS,Keysight Technologies,Information Technology,0.028475083753107783,6.923717904550318e-05,0.06545781269655074
STT,State Street Corporation,Financials,0.02730445495395178,6.870618646152083e-05,0.10350224008449191
NEE,NextEra Energy,Utilities,0.03514869818348341,6.778527351497654e-05,-0.03820386073456716
CRL,Charles River Laboratories,Health Care,0.04376439693177491,6.712882277812426e-05,0.07502543940236356
CMI,Cummins,Industrials,0.04141153905144358,6.683875163623323e-05,0.06694809008106961
PRU,Prudential Financial,Financials,0.031121482805717953,6.652574743636001e-05,0.03326938154039933
CRWD,CrowdStrike,Information Technology,-0.040861979715522606,-6.563354763782956e-05,-0.0037323701013799934
ISRG,Intuitive Surgical,Health Care,0.0027094444743386964,6.471825282723908e-05,-0.012456038288145954
GWW,W. W. Grainger,Industrials,-0.004942969296009452,6.445087393302645e-05,0.08882462800293642
NRG,NRG Energy,Utilities,0.004657299389335285,6.169824189293731e-05,-0.041015534210465734
CTAS,Cintas,Industrials,0.006418197025139866,6.0172114325705335e-05,0.013279863877145566
ROP,Roper Technologies,Information Technology,0.009870098289816949,6.0065520503118296e-05,0.01984036934590854
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,0.02278245848880998,5.994873455409141e-05,0.06489862570745732
FAST,Fastenal,Industrials,0.02540968330886042,5.936101235844497e-05,0.07300553261433515
BK,BNY Mellon,Financials,0.02071077298847792,5.883166922978435e-05,0.05614571512653923
CVX,Chevron Corporation,Energy,0.014794007337641439,5.786737304847518e-05,0.016037153440515303
SCHW,Charles Schwab Corporation,Financials,0.02058371423536936,5.521424354248606e-05,-0.12069535483012508
GL,Globe Life,Financials,0.039732277283073145,5.4618040572036275e-05,0.03776211521581808
MDT,Medtronic,Health Care,0.015360032226610207,5.2988948947806085e-05,0.0003840640928074301
APA,APA Corporation,Energy,0.03414453942548697,5.279053463209772e-05,0.06119711615993769
LHX,L3Harris,Industrials,0.019198498553763644,5.277264385195942e-05,0.04283083372119027
PSX,Phillips 66,Energy,0.030477327190558526,5.255863671237098e-05,0.020672725484953827
VRSN,Verisign,Information Technology,0.0038393030492557987,5.2531878175332965e-05,0.02791661292466845
DVN,Devon Energy,Energy,0.007785472647523856,5.207007286374224e-05,0.038458233218255276
GD,General Dynamics,Industrials,0.016464102895158077,4.986673101875098e-05,0.025846505459863185
OXY,Occidental Petroleum,Energy,0.007510227078764486,4.96571866036246e-05,0.01035602684060008
COP,ConocoPhillips,Energy,0.02487019559902893,4.901118634002806e-05,0.010472170615513164
CDNS,Cadence Design Systems,Information Technology,-0.003781811855100424,4.863637969324397e-05,-0.0074784505439581825
FDS,FactSet,Financials,0.017717515054141268,4.843817926810106e-05,0.053743132960999716
VLO,Valero Energy,Energy,0.002321315585423374,4.726386307137398e-05,0.014824149712679454
PKG,Packaging Corporation of America,Materials,0.035927920131794015,4.671535055303601e-05,0.04394024309695149
UNP,Union Pacific Corporation,Industrials,0.030812508221377356,4.643750638273746e-05,0.06080973613183154
TAP,Molson Coors Beverage Company,Consumer Staples,0.024331154121329454,4.615586742131785e-05,0.027182325569826853
SNA,Snap-on,Industrials,0.04500677713388293,4.605210239094865e-05,0.040167805991008255
CI,Cigna,Health Care,0.015681852853691274,4.5490883105460435e-05,0.018269593157046356
MPC,Marathon Petroleum,Energy,0.008373930880835066,4.544112373129348e-05,0.020364594261036508
KVUE,Kenvue,Consumer Staples,-0.016602459840610775,4.301361384694505e-05,0.01824770170422179
MNST,Monster Beverage,Consumer Staples,0.009592390733403504,4.161957019230477e-05,0.004167970670431337
AMZN,Amazon,Consumer Discretionary,-0.021755939569444747,3.967562425469869e-05,-0.010462118984894637
SPGI,S&P Global,Financials,0.027681957811363348,3.7973429514612716e-05,0.032372565331214645
FIS,Fidelity National Information Services,Financials,0.024917525343094115,3.74699094796679e-05,0.01744442104362484
EW,Edwards Lifesciences,Health Care,-0.006762274216462524,3.428571795830506e-05,-0.05672131696024205
ABBV,AbbVie,Health Care,0.011007431033385471,-3.190956243933011e-05,0.004956713624984371
ACN,Accenture,Information Technology,0.004141117373705504,3.176156707544254e-05,0.08676506574643802
AVGO,Broadcom,Information Technology,-0.015910635605682982,3.17502575502549e-05,-0.007147608840627271
NTRS,Northern Trust,Financials,0.03431446674087006,3.054368943040936e-05,0.04392091244828444
SRE,Sempra,Utilities,0.019003081425143942,3.020062195061708e-05,-0.008604836874207537
CSX,CSX Corporation,Industrials,0.03805969862241486,3.015720821956778e-05,0.0460482830583197
SYK,Stryker Corporation,Health Care,0.007481469352736858,2.9621444765035534e-05,-0.013879167903286097
CTSH,Cognizant,Information Technology,0.04744411966196742,2.8320138065448746e-05,0.05072997004565884
MGM,MGM Resorts,Consumer Discretionary,0.04689402211284265,2.8267604956834768e-05,0.020298659326290696
WAB,Wabtec,Industrials,0.03333524898788302,2.683155020808779e-05,0.03665773380299875
TXN,Texas Instruments,Information Technology,-0.0008497786233156134,2.634630471426277e-05,0.03261401011237332
FISV,Fiserv,Financials,0.0010584353971349984,2.5993528914784542e-05,0.03820302695259867
HCA,HCA Healthcare,Health Care,0.0018915196266309124,2.5673310130494185e-05,0.004399616849257056
