clustering,avg_path_length,sigma,modularity,nmi,gamma,bootstrap_id
0.5538502158702908,2.4948751572242887,4.14755891002679,0.2876663386062414,0.3294507343618105,2.5225837858295357,117
0.5671783636825979,2.441697748971445,3.9339301735309986,0.2594889231241523,0.33573247886077634,1.7505513024546975,118
0.547743973994831,2.510724764456108,4.132839527953103,0.27320716135346207,0.34425327801024225,1.7305772531779042,119
0.5600797309341139,2.48739282311845,3.8649190199147165,0.24693123479599463,0.35430150172861286,1.6237862418641713,120
0.5467960207296422,2.597178739789125,3.904847749402601,0.263915595033065,0.35108987981734,1.646102617036043,121
0.49882105097863105,2.710712871999712,4.801060217331182,0.3477551669547793,0.4032353148363586,1.8878918610545932,122
0.5425954704220475,2.6561609907120745,4.359553947320282,0.27221997647534013,0.40189000866213576,1.6752081438096438,123
0.5308692560118832,2.675587608342489,4.231343914272145,0.2719245194252936,0.3680126860484527,2.8821563182480543,124
0.5394718878014307,2.658320121006688,4.114162156220791,0.2841106765904929,0.39026466788477665,1.7333802795600861,125
0.5405485268240776,2.5674391290599448,4.0257600803414695,0.2637568020021339,0.33215686224129604,2.978023701401934,126
0.5956655571832848,2.4761447923606483,3.5170245129397473,0.20282650686792478,0.33730144015002966,2.843205689630776,127
0.5517178875295168,2.48265369305617,4.13835304781277,0.2669688072671151,0.3416831889845041,1.7039442046779074,128
0.5882752770162566,2.398051496172582,3.4027583652435163,0.19735108271521515,0.26643753513514407,1.6570409473748215,129
0.5778882436447962,2.5418595730635767,3.6659413827179046,0.21099577745561665,0.34629314575875314,1.579470032585573,130
0.596554131687096,2.377696590118302,3.6996700017848014,0.19615091388317724,0.3020633363134248,1.491327079603237,131
0.5816580650867434,2.512414984346324,3.632215936614001,0.21396405067693372,0.3490421394247834,1.6127834234749143,132
0.5517381873188953,2.5087483299474735,4.0497752565154235,0.27616698058036665,0.37473941654502685,1.7591831091058485,133
0.5245774110087017,2.6610089208178733,4.664496786277058,0.3483953484529825,0.35887423266979307,1.9413239141518717,134
0.5291567317486736,2.66675663032135,4.4365474309958834,0.3163609251317996,0.3545455618638084,2.922955209121319,135
0.5068682282025793,2.8048787042677463,5.148548013179254,0.33235960363728706,0.40412968559071355,1.9714692635717268,136
0.5246210486657744,2.6291950742561174,4.470636216974325,0.30245022466077914,0.3548879825546518,2.9693595747760284,137
0.5168405664690556,2.580732428670842,4.078144065692832,0.2863215706006303,0.3121216818433958,2.195688344997215,138
0.5261435917277337,2.5064858279284765,4.1225017868371685,0.28335127217367445,0.32553438880692676,1.829172167464899,139
0.5445073525654964,2.676831738984902,4.384095245133112,0.28202470029280347,0.3882004920459384,1.6867987441923362,140
0.5205342469779595,2.6336979094559045,4.289798876829699,0.27488498361841524,0.4062903396051846,2.8877841340055417,141
0.5258472137985838,2.6111410989960055,4.141610765255561,0.2679287102316091,0.3987534281486313,2.878465960169731,142
0.5708093480770375,2.488998775121354,3.7028123044987096,0.22225295353617935,0.3779908119748196,1.5617226551193455,143
0.5344386958930958,2.6015389791323402,4.142143531054058,0.26383022844984516,0.3473994136779076,2.951878238058889,144
0.5925441602237954,2.486038440533446,3.781571307735034,0.22326616856598547,0.3370749863664558,2.7894303386980783,145
0.5324266608312197,2.590682120532867,4.170447942853653,0.2825176129686413,0.39651240065807514,2.963443813593332,146
0.5378398987720466,2.6504328410109994,4.075764583235588,0.28035207257677225,0.4154308390282597,1.6646534137912306,147
0.513140251043888,2.6386294502279193,4.571037338101404,0.32914156131851663,0.33539970411705017,1.7725239739518965,148
0.48954616820500785,2.78984520123839,4.420905683789082,0.32685354565909824,0.35085567040205273,1.8955736840061785,149
0.4934164272547178,2.6569037656903767,4.821541060488429,0.3417230552834477,0.3436308369616244,1.8247488657960225,150
0.5623034084839716,2.485800609551997,3.9977460397454956,0.2300371781786118,0.362461946630493,2.9864655198740615,151
0.5231498414090153,2.5721735484490877,4.0849681921875725,0.26377678411112304,0.2697118817807791,2.7035866397425368,152
0.5900663981970286,2.3386752980184733,3.527501017526605,0.20124774283995125,0.290762267748685,1.5647736336745433,153
0.5313198211103669,2.704145525207816,4.285235235968038,0.2948851278239289,0.3575516805718896,1.9045478683721877,154
0.5742557916938341,2.4263735287586052,3.390406590211902,0.21312754724646074,0.289867280173822,2.9668824687938615,155
0.5277420179808857,2.6014020257209864,4.775269703231582,0.31846588456734615,0.3252334972048392,1.8930553871279403,156
0.5764699570157537,2.5196677105080028,3.881019694710206,0.23232437352039775,0.3882359528440672,1.5437405384033003,157
0.5608788947355015,2.583087601506147,3.889384221193429,0.26922064467381446,0.3550146525621094,1.7470859861416441,158
0.5842263467634897,2.4823006884299357,3.700642863023131,0.22293149358338848,0.342973123368879,2.9601721753111936,159
0.5835499078810809,2.3341758611468153,3.458805975029366,0.2053639161591793,0.28866622181456675,2.980386022190604,160
0.5353620806179525,2.717909964374393,4.229937196532554,0.2574183734822578,0.4112373298666757,1.686356495718103,161
0.5269468737413836,2.8591872085276484,4.740720840680775,0.31888337289815993,0.3853997195320602,1.8016741430161218,162
0.5494038862767047,2.4910316631871954,4.643721361414917,0.3462909320007154,0.3694628350515976,2.4968611039278708,163
0.5550005806883386,2.6790186764547124,4.143843436933204,0.26087424080443894,0.34908996840700424,1.683235986862242,164
0.5246765014655194,2.6804850840260537,4.4228021640241675,0.3150568458230787,0.3735264391186714,2.648685390024734,165
0.5553231218187495,2.5664543524416135,3.879730719733439,0.24502929330564885,0.35148758208739767,2.9661895580682307,166
0.5711384213713856,2.4728208174282194,4.173046046472902,0.24957259581782795,0.3365903254565313,2.8523643992286374,167
0.5499678654460892,2.4766973359793134,4.126954491674977,0.2791779160996063,0.27315735773771266,1.74294833193683,168
0.5444511841160637,2.5311808934099957,4.10354591454986,0.26232630193950013,0.36095054541161276,1.707086081689491,169
0.5444745623007674,2.5146341245840804,4.198943687738943,0.2646352196402446,0.3490180311248622,1.6558866614484533,170
0.5274917282837616,2.7681590656284762,4.639078831085326,0.3247438751040701,0.4363331003674982,2.966813423272405,171
0.5662812686945184,2.4976350019708318,3.8646644226890094,0.22032594485516765,0.3506965372173153,1.6270223799662353,172
0.5407944132407915,2.671537274422173,4.35142868339827,0.265192567248378,0.3738133027597693,1.6205456450647873,173
0.5686318868726095,2.5475571725571724,4.069100414761381,0.2260879316831297,0.37792815162095694,1.6591171313543747,174
0.6097299603796864,2.3597196732520063,3.2062901793763925,0.17906275604453553,0.37787967244293147,1.4509427275135653,175
0.5660780560263564,2.5395208898011457,4.272657762201958,0.27954183566343577,0.34578649938609773,1.8089922744855136,176
0.5270583440789722,2.7107340701688654,4.9341838481138875,0.3631867834771168,0.40699352630667224,2.9274869247595983,177
0.5559479039008868,2.5726050420168067,4.16207255775524,0.2596885935864006,0.3849358555713533,1.7421417416313552,178
0.5062321678838952,2.868532793905928,5.668782635307805,0.36988112651646876,0.40759029878509,2.993018600353312,179
0.5407661982486256,2.6501636916709037,4.211250542841219,0.2771277823234444,0.33383618319263014,2.9861044548061164,180
0.5381496330709917,2.578351453437612,3.888700035018069,0.24757827041967762,0.35594740764159927,2.988071381173979,181
0.5393089196168849,2.619150467962563,4.071793483734358,0.2877154697604847,0.3968540240432281,2.880711440959602,182
0.5385850132156557,2.5953206545776206,4.140414447244594,0.29624790140283175,0.3608718506427903,2.9726492280243577,183
